"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LN72MPYY","journalArticle","2006","Rilov, G; Schiel, Dr","Trophic linkages across seascapes: subtidal predators limit effective mussel recruitment in rocky intertidal communities","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps327083","http://www.int-res.com/abstracts/meps/v327/p83-93/","Food-web linkages between habitats across a landscape are known to be important in terrestrial systems. Linkages through the lower (nutrients) and higher (predators) trophic levels are also starting to be recognized across seascapes. Here, we test the potential importance of a subtidalintertidal trophic linkage through predation on mussel recruits by fish in mussel-dominated communities at 2 tidal levels on wave-exposed shores of southern New Zealand. We show that on rocky shores that include both intertidal benches and subtidal reefs, labrid fish move into the intertidal zone during high tide and exert fast and strong predation pressure on small mussels in the low-, and to a lesser extent mid-shore, intertidal levels. Within 1 d, 80 to 95% of small (5 to 15 mm) transplanted mussels were removed from experimental tiles on the low shore when unprotected from fish predation, while 20 to 60% were removed on the mid-shore; in contrast, most fully protected mussels survived for months. Although at a slower pace, predation was also evident in cages that excluded fish but allowed access to large invertebrate predators. This predation occurred mostly at night when large predatory crabs were abundant at the study sites. The combined predation pressure on small mussels by fish and crabs was reflected in the scarcity of larger/older mussel recruits (5 to 15 mm) outside mature beds on the low shore compared to greater abundance on the mid-shore. The number of mussel settlers in artificial collectors and of smaller/younger recruits (< 5 mm) within barnacle patches did not significantly differ between shore heights; thus, we attribute the difference in abundance of late recruits to differential predation rates by subtidal predators. This study clearly demonstrates that highly mobile subtidal predators, particularly fish, can have important impacts on temperate intertidal food webs, especially on early life stages of habitat-dominating invertebrates, such as mussels in New Zealand and probably elsewhere.","2006-12-07","2021-09-30 16:40:48","2021-09-30 16:40:49","2021-09-30 16:40:48","83-93","","","327","","Mar. Ecol. Prog. Ser.","Trophic linkages across seascapes","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/4EBYK33J/Rilov and Schiel - 2006 - Trophic linkages across seascapes subtidal predat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDDZDCCJ","journalArticle","2006","Moksnes, Po; Heck KL, Jr","Relative importance of habitat selection and predation for the distribution of blue crab megalopae and young juveniles","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps308165","http://www.int-res.com/abstracts/meps/v308/p165-181/","We assessed the relative role of 3 potentially important processes affecting the distribution of young juvenile blue crabs Callinectes sapidus Rathbun: (1) habitat selection at settlement, (2) selection of habitats by dispersing juveniles, and (3) habitat-specific predation rates, using cage experiments. The results suggest that active habitat selection by postlarvae and young juvenile crabs determines the habitat-specific distribution of juvenile blue crabs. Densities of blue crab settlers (megalopae and first instar crabs) in caged habitat patches were high and similar in artificial seagrass, live shoal grass Halodule wrightii, and live oyster habitats (on average 69 to 82 settlers m–2), but significantly lower in mud (26 settlers m–2), indicating active selection for any structurally complex habitat at settlement. Second and third instar juvenile blue crabs (J2 and J3 crabs) also colonized the structurally complex habitats in higher numbers (34 to 115 crabs m–2), compared to mud (14 crabs m–2), demonstrating that young juvenile blue crabs are highly mobile and redistribute soon after metamorphosis. Densities of J2 and J3 blue crabs in uncaged treatments were significantly lower in all habitats than in caged treatments (on average 44% loss), suggesting high predation mortality. However, the loss of settlers and juvenile crabs was similar in all habitats, and had no significant effect on the juvenile crab distribution. Densities of potential predators were on average 5 times higher in the structurally complex habitats than in mud. An aggregation of predators in the refuge habitats, coupled with a refuge at low prey densities in unstructured habitats, appears to decrease the proximate effect of predation on the distribution of juvenile crabs. Concurrent high settlement of a small xanthid crab (cf. Eurypanopeus sp.) occurred almost exclusively in the oyster habitat, suggesting that species with a limited ability to redistribute after metamorphosis may display a more specific selection of the adult habitat at settlement.","2006-02-16","2021-09-30 16:40:50","2021-09-30 16:40:50","2021-09-30 16:40:50","165-181","","","308","","Mar. Ecol. Prog. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/TY4ZC9AJ/Moksnes and Heck KL - 2006 - Relative importance of habitat selection and preda.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IABC3I9Z","journalArticle","2004","Britton-Simmons, Kh","Direct and indirect effects of the introduced alga Sargassum muticum on benthic, subtidal communities of Washington State, USA","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps277061","http://www.int-res.com/abstracts/meps/v277/p61-78/","Introduced algae have become a prominent component of the marine flora in many regions worldwide. In the NE Pacific, the introduced Japanese alga Sargassum muticum (Yendo) Fensholt is common and abundant in shallow, subtidal, rocky habitats, but its effects on subtidal, benthic communities in this region have not previously been studied. I measured the response of native species to experimental manipulation of S. muticum in field experiments in the San Juan Islands of Washington State. Native canopy (brown) and understory (red) algae were more abundant in plots from which S. muticum had been removed, and the native kelp Laminaria bongardiana (the most abundant species of brown alga in the absence of S. muticum) grew more than twice as fast in plots where S. muticum was absent. The negative effects of S. muticum on native algae appear to be a result of shading, rather than changes in water flow, sedimentation, or nutrient availability. S. muticum also had a strongly negative indirect effect on the native sea urchin Stronglyocentrotus droebachiensis by reducing abundances of the native kelp species on which it prefers to feed. My results indicate that S. muticum has a substantial impact on native communities in this region, including effects at multiple trophic levels. Because of their worldwide distribution and capacity to alter native communities, non-indigenous algae are potentially important agents of global ecological change.","2004","2021-09-30 16:40:52","2021-09-30 16:40:52","2021-09-30 16:40:52","61-78","","","277","","Mar. Ecol. Prog. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/RR8FWA6W/Britton-Simmons - 2004 - Direct and indirect effects of the introduced alga.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSVLSE8A","journalArticle","2002","Gaymer, Cf; Himmelman, Jh; Johnson, Le","Effect of intra- and interspecific interactions on the feeding behavior of two subtidal sea stars","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps232149","http://www.int-res.com/abstracts/meps/v232/p149-162/","Competition and its effects are difficult to demonstrate, as they vary depending on the species present and the environmental conditions in each community. We conducted laboratory and field experiments to evaluate the effects of intra- and interspecific interactions on the use of food resources and behavior of the sea stars Leptasterias polaris and Asterias vulgaris, 2 major predators in subtidal communities of the northern Gulf of St. Lawrence. We demonstrate interference (encounter) competition between the two. For both species, the presence of the other (as detected by both contact and chemical signals) decreased feeding activity and provoked behavioral changes (avoidance, decrease in percentage feeding). These effects were reversible and short-lived, and were more pronounced when there was a shortage of food and when sea stars were exposed to simulated attacks by the other species (involving pedicellarial pinching). L. polaris seemed to be the inferior competitor as (1) it switched to less profitable prey size (smaller mussels, Mytilus edulis) when A. vulgaris was present, and (2) it avoided A. vulgaris and reduced its feeding activity when food was scarce. The dominance of A. vulgaris is possibly attenuated at our study site (near its northern distributional limit) by the reduction of its fitness when water temperatures are low (most of the year) and during the winter when it migrates to deeper water. Competition for food resources seems to occur periodically (mainly summer), in localized areas (patches and beds of mussels) or when sea stars form dense aggregations in which they are likely to interact frequently. Interactions, and thus the chance of competition, are less likely at greater depths. Coexistence seems to be permitted by both the attenuation of the dominance of A. vulgaris and by the great variations in how L. polaris and A. vulgaris interact (strongly affected by variations in prey availability, sea star abundance, and in the patterns of prey use by both sea stars).","2002","2021-09-30 16:40:53","2021-09-30 16:40:53","2021-09-30 16:40:53","149-162","","","232","","Mar. Ecol. Prog. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/Y5KDJUC8/Gaymer et al. - 2002 - Effect of intra- and interspecific interactions on.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6S48CY6Z","journalArticle","2002","Lohrer, Am; Whitlatch, Rb","Relative impacts of two exotic brachyuran species on blue mussel populations in Long Island Sound","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps227135","http://www.int-res.com/abstracts/meps/v227/p135-144/","Green crabs Carcinus maenas were introduced to North America in the early 1800s and breeding populations were subsequently established in southern New England. Green crabs became dominant predators in rocky intertidal habitats of the region and caused ecological and economic harm in the ensuing decades. During the mid-1990s, the rocky intertidal crab fauna of southern New England began to change once again. A reduction in green crab abundance was coincident with the introduction and spread of another exotic crab species, the Asian shore crab Hemigrapsus sanguineus. Less than 10 yr after its appearance in Long Island Sound, H. sanguineus became the numerically dominant brachyuran at several rocky intertidal sites in the region (e.g. 90+% of the crabs were H. sanguineus; densities of H. sanguineus often exceeded 70 crabs m–2). This study examined consequences of the invasion by H. sanguineus and the decline of C. maenas on a shared prey population in the rocky intertidal zone. Both crab species readily consumed native blue mussels (Mytilus edulis) and rates of mussel loss (per predator, per species) were quantified during a series of field experiments. While C. maenas consumed more mussels than H. sanguineus on an individual basis, the greater densities of H. sanguineus made it an important predator of juvenile mussels from a population standpoint. In isolation, the decline of C. maenas (a voracious alien predator) would have benefited mussel populations. However, the replacement of C. maenas by H. sanguineus has apparently had a net negative influence on intertidal blue mussel populations.","2002","2021-09-30 16:40:55","2021-09-30 16:40:55","2021-09-30 16:40:55","135-144","","","227","","Mar. Ecol. Prog. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/LCEDCIE4/Lohrer and Whitlatch - 2002 - Relative impacts of two exotic brachyuran species .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Z222ICB","journalArticle","2001","Peterson, Bj; Heck, Kl","Positive interactions between suspension-feeding bivalves and seagrass-a facultative mutualism","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps213143","http://www.int-res.com/abstracts/meps/v213/p143-155/","In shallow coastal waters, suspension-feeding bivalves often dominate the benthos in numbers as well as biomass. In the Gulf of Mexico and the Caribbean Sea, these filter feeders are usually associated with seagrass. Two simultaneously conducted field experiments (a mussel density manipulation and a mussel predation experiment) were conducted to examine the potential positive interactions between the suspension-feeding mussel Modiolus americanus (Leach) and the seagrass Thalassia testudinum Banks ex König. The mussel density manipulations resulted in a doubling of the total nitrogen and total phosphorus levels of sediments, and a significant reduction in leaf tissue C:N, N:P and C:P ratios, demonstrating that the mussels increased the sediment nutrient content and that these increased nutrients were biologically available to the plant. T. testudinum responded to the presence of mussels by significantly increasing leaf widths and lengths. In addition, productivity significantly increased in the mussel-addition treatments. Another response to the presence of mussels included a significantly reduced epiphytic load on the seagrass leaves. The mussel predation experiment evaluated the effects of seagrass on the survivorship of the associated mussel, M. americanus. Mean survival was significantly greater in vegetated habitats than in unvegetated sediments. Consequently, when mussels are present in seagrass meadows, they elevate seagrass productivity through either increased nutrient resource pools or reduced epiphytic loads on the leaves, while the seagrass increases mussel survivorship. Thus, this study demonstrates the reciprocal positive interactions of these organisms when associated and suggests that seagrass meadows may exist as a mosaic of nutrient and productivity ‘hot spots’ when suspension-feeding organisms are present. These positive interactions may have important consequences in the development, structure and organization of seagrass communities.","2001","2021-09-30 16:40:56","2021-09-30 16:40:56","2021-09-30 16:40:56","143-155","","","213","","Mar. Ecol. Prog. Ser.","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/6E3GK79V/Peterson and Heck - 2001 - Positive interactions between suspension-feeding b.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NV3B7EB6","journalArticle","1998","Moksnes, Po; Pihl, L; van Montfrans, J","Predation on postlarvae and juveniles of the shore crab Carcinus maenas:importance of shelter, size and cannibalism","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps166211","http://www.int-res.com/abstracts/meps/v166/p211-225/","Settlement and early juvenile stages are considered a bottleneck in the life history of many epibenthic organisms because of high predation mortality. Nursery habitats may play a n irnportant role in mitigating settlement and post-settlement mortality by providing refuge from predation. We examined these relationships in postlarvae and early juvenile stages of the shore crab Carcinus maenas L. in laboratory and field tethering experiments. We studied habitat and size related habitat mortality using postlarvae and young juvenile crabs as prey, and various predators, including juvenile conspecifics, in several habltats common in shallow (0 to 1 m) soft bottom nursery areas on the Swedish west coast. Settling mortality was high in open sand (80 to go%),whereas a significant habitat refuge was obtained in mussel beds, eelgrass and filamentous green algae, the latter yielding the lowest mortality (13 to 1 4 % ) . Small differences in structural complexity of ephemeral macroalgae dramatically affected predation mortality of tirst instar crabs, with a slgniiicant refuge obtaineci oriiy irl d i y d e of medium complexity. Predation rate on tethered crabs in the field was high (52 to 67 X)only on the smallest crabs (<S mm carapace width, CW), which obtained a significant refuge in the eelgrass habitat compared to open sand. Mortality for larger crabs (5to 25 mm CW) was low (<10%) and similar in sand and eelgrass habitats. Our results indicate that predation is an important process that can create a bottleneck for juvenile shore crab populations during settlement and early juvenile stages, mediated by the availability of nursery habitats. Postlarvae obtained refuge from predation in several different habitats, suggesting that the recruitment of juvenile shore crabs will be less affected by temporal and spatial variation of any single habitat type. The strong slze refuge for crabs larger than 4 mm CW indicates that key predators are small. We suggest that cannibalistic juveniles, which caused predation rates similar to or higher than all other investigated predators, are dominant predators on settling postlarvae and young luvenile crabs in nursery areas. We further propose that habitat- and size-specific predation by small epibenthic predators are an important selective force in habitat selection by postlarvae and ontogenetic shifts in habitat use by juveniles.","1998","2021-09-30 16:40:57","2021-09-30 16:40:58","2021-09-30 16:40:57","211-225","","","166","","Mar. Ecol. Prog. Ser.","Predation on postlarvae and juveniles of the shore crab Carcinus maenas","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/QIBGFTKD/Moksnes et al. - 1998 - Predation on postlarvae and juveniles of the shore.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8G26LK3M","journalArticle","2004","Miller, Kara E.; Gorchov, David L.","The invasive shrub, Lonicera maackii , reduces growth and fecundity of perennial forest herbs","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-004-1518-2","http://link.springer.com/10.1007/s00442-004-1518-2","Effects of invasive plant species on native plant species are frequently assumed or inferred from comparisons, but rarely quantified experimentally. Such quantification is important to assessing risks and impacts of invasives. We quantified the effects of Lonicera maackii, an exotic shrub invasive in many eastern North American forests, on survival, growth, and reproduction of three perennial herbs: Allium burdickii, Thalictrum thalictroides, and Viola pubescens. We predicted that the spring ephemeral, A. burdickii, would be most impacted, due to early leaf expansion of L. maackii. Field experiments were carried out in two deciduous forest stands, one (Gregg’s Woodlot, GW) disturbed and the other (Western Woods, WW) relatively undisturbed. In each stand, individual herbs were transplanted into a blocked design of 60 plots where L. maackii was present, absent, or removed, and monitored for 5 growing seasons. Lonicera maackii did not affect survival of transplants, but reduced growth and final size of individuals of all three species. For two of the species, A. burdickii and V. pubescens, L. maackii reduced the proportion of live plants flowering in both stands, and reduced the seed or fruit number per flowering individual in GW. For T. thalictroides the proportion flowering was not affected, but seed number per flowering plant was reduced by L. maackii in both stands. For all three species, cumulative seed production over the course of the study was reduced by L. maackii. Overall, effects on the spring ephemeral, A. burdickii, were similar to effects on the other herbs. Because mortality of these established individuals was not affected, short-term studies might conclude forest herbs are unaffected by invasive shrubs.","2004-05-01","2021-09-30 16:40:59","2021-09-30 16:40:59","2021-09-30 16:40:59","359-375","","3","139","","Oecologia","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/DBZMN3G8/Miller and Gorchov - 2004 - The invasive shrub, Lonicera maackii , reduces gro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLD5G28V","journalArticle","","Leal, Manuel; Losos, Jonathan B","An experimental study of interspeci®c interactions between two Puerto Rican Anolis lizards","","","","","","We analyzed the impact of interspeci®c interactions between two ecologically and morphologically distinct Puerto Rican lizards, Anolis gundlachi and A. evermanni, in an experimental design consisting of six 20 ´ 20 m plots divided into three blocks, each consisting of a pair of experimental and control plots. We removed A. gundlachi from experimental plots and monitored the response of A. evermanni. The reduction in the number of A. gundlachi resulted in a signi®cant increase in the abundance of both adult and juvenile A. evermanni. We found no evidence for a shift in structural habitat use in A. evermanni in experimental plots. Two possible mechanisms, interspeci®c competition and intraguild predation, could explain the increase in abundance of A. evermanni after the removal of A. gundlachi. These results make clear that interactions still occur between A. gundlachi and A. evermanni even given their morphological and ecological dierences.","","2021-09-30 16:41:00","2021-09-30 16:41:00","","6","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/simontye/Zotero/storage/JJIEMNL2/Leal and Losos - An experimental study of interspeci®c interactions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WE8KTDQ","journalArticle","1992","Koide, Roger T.; Lu, Xiaohong","Mycorrhizal infection of wild oats: maternal effects on offspring growth and reproduction","Oecologia","","0029-8549, 1432-1939","10.1007/BF00317179","http://link.springer.com/10.1007/BF00317179","The objective of this study was to determine whether infection of Avenafatua L. plants by the mycorrhizal fungus Glomus intraradices Schenck & Smith could influence the vigor of the offspring generation. Two experiments demonstrated that mycorrhizal infection of the maternal generation had slight but persistent positive effects on offspring leaf expansion in the early stages of growth. In two other experiments, mycorrhizal infection of mother plants had several long lasting effects on their offspring. Offspring produced by mycorrhizal mother plants had greater leaf areas, shoot and root nutrient contents and root:shoot ratios compared to those produced by non-mycorrhizal mother plants. Moreover, mycorrhizal infection of mother plants significantly reduced the weight of individual seeds produced by offspring plants while it increased the P concentrations of the seeds and the number of seeds per spikelet produced by offspring plants. The effects of mycorrhizal infections of maternal plants on the vigor and performance of offspring plants were associated with higher seed phosphorus contents but generally lighter seeds. The results suggest that mycorrhizal infection may influence plant fitness by increasing offspring vigor and offspring reproductive success in addition to previously reported increases in maternal fecundity.","1992-05","2021-09-30 16:41:02","2021-09-30 16:41:02","2021-09-30 16:41:02","218-226","","2","90","","Oecologia","Mycorrhizal infection of wild oats","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/35DS3LXM/Koide and Lu - 1992 - Mycorrhizal infection of wild oats maternal effec.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AU4UTDLK","journalArticle","1993","Knoch, Tom R.; Faeth, Stanley H.; Arnott, Diane L.","Endophytic fungi alter foraging and dispersal by desert seed-harvesting ants","Oecologia","","0029-8549, 1432-1939","10.1007/BF00317429","http://link.springer.com/10.1007/BF00317429","Endophytic fungi are thought to interact mutualistically with host plants by producing alkaloid metabolites that deter herbivory. Since such fungi are transmitted via seed in some grasses, the presence of endophytes may also protect plants from seed predators. We conducted seed choice experiments for two dominant seed harvesting ants, Pogonomyrmex rugosus in the Sonoran desert and Pogonomyrmex occidentalis at a higher elevation, riparian zone in Arizona, USA. Noninfected fescue (Festuea arundinaeea) seeds and seeds infected with the endophytic fungus, Acremonium eoenophialum, were presented to ant colonies in three different polyalations. Infected seeds were harvested less frequently than non-infected seed for the two populations of Pogonomyrmex rugosus but not for the population of Pogonomyrmex occidentalis. We also a conducted seed dispersal experiment for one population of Pogonomyrmex rugosus. Of the seeds that were harvested, most of the colonies discarded more infected seeds into refuse piles than expected by chance. Seeds discarded into refuse piles have greater germination success than surrounding areas. The most important interaction of endophytes and grasses may be deterrence of seed predation and enhancing the probability of germinating in favorable sites, since these processes directly increase plant fitness.","1993-10","2021-09-30 16:41:03","2021-09-30 16:41:03","2021-09-30 16:41:03","470-473","","4","95","","Oecologia","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/DPWDMU44/Knoch et al. - 1993 - Endophytic fungi alter foraging and dispersal by d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZN7WMAN6","journalArticle","1986","Kelly, Carol A.","Extrafloral nectaries: ants, herbivores and fecundity in Cassia fasciculata","Oecologia","","0029-8549, 1432-1939","10.1007/BF00410369","http://link.springer.com/10.1007/BF00410369","Extrafloral nectaries of Cassiafasciculata attract nectar feeding ants which protect the plant against leaf herbivores. High ant visitation in late July coincided with high herbivore densities at two sites in east central Iowa. The highest level of leaf herbivory occurred during the time of flowering and early fruit filling, just after the peak of herbivore and ant activity. Results of ant exclusion experiments at the two sites showed that ant visitation resulted in decreased herbivore numbers, decreased leaf area loss, increased growth, and at one site decreased plant mortality. However, this reduction in leaf area loss and increase in growth did not translate into seed set differences between plants with and without ants at either site. Initial plant size was more important than the presence or absence of ants in determining fecundity for this temperate annual during a year of summer drought.","1986-07","2021-09-30 16:41:05","2021-09-30 16:41:05","2021-09-30 16:41:05","600-605","","4","69","","Oecologia","Extrafloral nectaries","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/L75IRL59/Kelly - 1986 - Extrafloral nectaries ants, herbivores and fecund.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRNPNLND","journalArticle","2002","Jurjavcic, N.; Harrison, S.; Wolf, A.","Abiotic stress, competition, and the distribution of the native annual grass Vulpia microstachys in a mosaic environment","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-001-0845-9","http://link.springer.com/10.1007/s00442-001-0845-9","We analyzed how abiotic stress and competition interact to control the abundance and performance of the native annual grass Vulpia microstachys (Lonard and Gould; Poaceae) in a heterogeneous environment. At our study site, V. microstachys grows in nonserpentine grasslands dominated by tall invasive grasses, serpentine meadows dominated by short native forbs, and rocky serpentine slopes with a sparse native herb cover. We hypothesized that these three intermixed habitats acted as a gradient of increasing abiotic stress and decreasing aboveground competition, respectively. We further expected that the abundance and performance of V. microstachys would be highest in serpentine meadows, where neither aboveground competition nor abiotic stress were maximal. Soil and biotic variables showed roughly the expected patterns, but V. microstachys did not show the predicted peak in the middle of the gradient. Emergence, seedling survival, and abundance of V. microstachys were highest, and growth and seed production of survivors were lowest, on rocky serpentine slopes. Field experiments revealed that removal of competitors enhanced all demographic parameters, but only in the more productive habitats. An interaction between seed source and habitat, affecting emergence and survival, indicated ecotypic adaptation to the rocky serpentine slope habitat. We conclude that individual variation caused by local adaptation and phenotypic plasticity allows V. microstachys to survive in widely different habitats, none of which are optimal, resulting in considerable variation in demography.","2002-02","2021-09-30 16:41:07","2021-09-30 16:41:07","2021-09-30 16:41:07","555-562","","4","130","","Oecologia","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/5QTKHN5Z/Jurjavcic et al. - 2002 - Abiotic stress, competition, and the distribution .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9NYQ8YL","journalArticle","2004","Juliano, Steven A.; Lounibos, L. Philip; O’Meara, George F.","A field test for competitive effects of Aedes albopictus on A. aegypti in South Florida: differences between sites of coexistence and exclusion?","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-004-1532-4","http://link.springer.com/10.1007/s00442-004-1532-4","","2004-05","2021-09-30 16:41:09","2021-09-30 16:41:09","2021-09-30 16:41:09","583-593","","4","139","","Oecologia","A field test for competitive effects of Aedes albopictus on A. aegypti in South Florida","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/GWPNKH54/Juliano et al. - 2004 - A field test for competitive effects of Aedes albo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73Z4AG2V","journalArticle","2009","Jones, Thomas S.; Godfray, H. Charles J.; van Veen, F. J. Frank","Resource competition and shared natural enemies in experimental insect communities","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-008-1247-z","http://link.springer.com/10.1007/s00442-008-1247-z","","2009-03","2021-09-30 16:41:11","2021-09-30 16:41:11","2021-09-30 16:41:11","627-635","","3","159","","Oecologia","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/NHSZD9S8/Jones et al. - 2009 - Resource competition and shared natural enemies in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNRVH9VL","journalArticle","2008","Mack, Keenan M. L.; Rudgers, Jennifer A.","Balancing multiple mutualists: asymmetric interactions among plants, arbuscular mycorrhizal fungi, and fungal endophytes","Oikos","","00301299","10.1111/j.2007.0030-1299.15973.x","https://onlinelibrary.wiley.com/doi/10.1111/j.2007.0030-1299.15973.x","","2008-02","2021-09-30 16:41:13","2021-09-30 16:41:13","2021-09-30 16:41:13","310-320","","2","117","","Oikos","Balancing multiple mutualists","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/JASHQJG8/Mack and Rudgers - 2008 - Balancing multiple mutualists asymmetric interact.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M3H7QH4F","journalArticle","2007","Koivisto, Elina; Huitu, Otso; Korpimäki, Erkki","Smaller <i>Microtus</i> vole species competitively superior in the absence of predators","Oikos","","00301299","10.1111/j.2006.0030-1299.15254.x","https://onlinelibrary.wiley.com/doi/10.1111/j.2006.0030-1299.15254.x","","2007-01","2021-09-30 16:41:14","2021-09-30 16:41:14","2021-09-30 16:41:14","156-162","","1","116","","Oikos","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/PJVLPCTZ/Koivisto et al. - 2007 - Smaller Microtus vole species competitively.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XT97GTZR","journalArticle","2006","Inoue, Mikio; Miyayoshi, Masanobu","Fish foraging effects on benthic assemblages along a warm-temperate stream: differences among drift feeders, benthic predators and grazers: oik","Oikos","","00301299","10.1111/j.2006.0030-1299.14388.x","https://onlinelibrary.wiley.com/doi/10.1111/j.2006.0030-1299.14388.x","","2006-07","2021-09-30 16:41:16","2021-09-30 16:41:16","2021-09-30 16:41:16","95-107","","1","114","","Oikos","Fish foraging effects on benthic assemblages along a warm-temperate stream","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/GK9Y988H/Inoue and Miyayoshi - 2006 - Fish foraging effects on benthic assemblages along.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
